country,Population2000,Population2010,Population2020,Population2030,UrbanPopulation_10YearLag2000,UrbanPopulation_10YearLag2010,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2030,UrbanPopulation_20YearLag2000,UrbanPopulation_20YearLag2010,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2030,UrbanPopulation2000,UrbanPopulation2010,UrbanPopulation2020,UrbanPopulation2030
Montenegro,832211,828914,827037,816873,13979,32191,15543,13197,52618,43725,49296,28946,540376,533033,521879,502957
Serbia,13595504,13158575,12581709,11873924,222542,301618,198716,84256,460971,513079,496362,255622,7375520,7173319,7010287,6593703
South Sudan,6191402,9834222,10678497,12620717,327893,1366147,1528889,1088972,648342,1856881,3540928,3182672,2319196,4685632,6060731,8544457
Sudan,27223234,34945892,46026304,59006253,2067511,2241231,3950232,2325199,3628656,5057726,7530255,7128945,18403890,24367378,31173574,40528696
Taiwan,23993878,24983909,25809154,26063889,532054,318397,134824,166266,1438659,909809,457583,268933,20118901,21029813,21767076,22090084
Cocos (Keeling) Islands,568,557,517,470,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island,1336,2098,3068,4168,0,0,0,0,0,0,0,0,0,0,0,0
Ashmore and Cartier Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,93305,98826,106939,111280,0,0,0,7464,0,0,0,7464,25594,26268,27695,36556
Mayotte,165444,219897,316736,421233,51416,14878,24529,30377,78485,82316,47358,61573,118455,166487,240878,353340
Réunion,838723,949740,1022092,1101993,123673,125095,42456,17201,196508,248194,186980,60690,516369,633722,703705,761238
Tromelin Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan de Nova Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glorioso Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europa Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bassas da India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre et Miquelon,8595,8266,8122,7810,0,0,0,0,0,0,0,0,0,0,0,0
French Southern and Antarctic Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,9309182,9684749,10172125,10667366,125209,151254,128446,103228,229131,255355,277213,217736,4618197,4917683,5353555,5722057
The former Yugoslav Republic of Macedonia,2733474,2808025,2831259,2777764,21315,85596,53071,23645,67857,103325,146781,35898,1562175,1643879,1666809,1605243
Croatia,6351870,6099213,5716958,5373260,57438,108062,46699,31043,100704,159768,153038,59420,2781528,2717344,2539397,2338633
Malta,489376,512805,628649,662366,17501,2234,45537,3886,47099,21761,46524,53521,399396,411472,542502,563689
San Marino,34423,40398,43396,42972,0,2237,0,0,0,0,2285,0,15404,19748,20681,19509
Slovenia,2843495,2945354,3028839,3010014,26102,46025,20496,16046,48713,69102,68255,35776,1007287,1056399,1099774,1100738
Greece,13524352,13515090,12868508,12304113,234530,89779,26535,69422,474456,302025,100840,74303,8201210,8163095,7698883,7370663
Italy,77339105,81306103,81001334,78418329,845800,1991862,1109262,500566,1396265,2775485,2694283,1434604,46431517,49476222,49812635,48487345
Portugal,12718771,13067094,12708135,12417713,227981,167019,126166,99445,327162,398380,217712,196697,6469457,6745694,6780424,6769455
Spain,52167181,59537604,60556668,60175625,1587721,2103534,943789,377009,2156611,3921796,2691306,1269870,34067999,39282041,41297477,41114598
Bosnia and Herzegovina,5827738,5315013,4629314,4341399,58744,82259,116483,56376,103101,131293,173750,163806,2226413,1996889,1736454,1604639
Andorra,87637,95105,103484,108220,7434,0,0,2049,7434,9379,0,2049,47743,47473,47086,43801
Albania,4217369,3861347,3799624,3697570,182420,119185,135094,77364,412641,343233,267169,225936,1888293,1935124,2199249,2390065
Monaco,11410,12453,12161,12611,0,2227,0,0,0,2227,2128,0,6912,9842,9588,10028
Netherlands,25704230,26859525,28180276,29006171,1376860,825296,419690,248909,1982514,2349293,1403538,627195,18134230,19099447,20213495,20736013
Luxembourg,678727,789146,979656,1083079,21265,91845,53555,19525,31982,112978,161013,76041,247037,366851,499006,556017
Liechtenstein,47306,51376,55371,58884,0,0,0,0,0,0,0,0,24927,0,0,0
France,85799624,91264944,94207596,95744737,1499994,1650924,1513025,1299170,2713331,3106061,3216057,2681704,44462622,46542342,47480657,48308778
Germany,129334893,128908020,132031341,131103328,3107590,1847514,1600784,1055130,4751717,4419784,3348034,2265754,72414148,71905942,74778380,73985671
Switzerland,10555289,11487156,12675372,13407408,367257,400463,441656,249447,476311,781846,857891,685667,5368122,6058706,6937783,7438500
Belgium,16249935,17220730,18301561,18794567,586522,457058,381968,293975,727260,970984,828965,613863,8129258,8762014,9441690,9799530
Austria,11928699,12453742,13266085,13485602,285667,217360,155558,129741,421819,511000,380928,245574,5177679,5651065,6280230,6580939
Australia,4479882,5218478,5913765,6428661,155580,220302,281320,143963,313380,402071,541543,452575,2890467,3454682,4097479,4603562
Palau,18325,17259,16980,17033,0,0,1146,0,0,0,829,1005,9741,7737,6375,5660
Canada,26183730,28978565,31677951,33923386,703918,761174,498418,332217,1514299,1495975,1341196,857928,17972444,20778284,23157836,25102693
Canada,3069395,3108029,3247042,3357154,56362,31591,74929,53059,133836,79203,105312,117596,832089,865517,966700,1056808
Canada,717659,722282,743685,750026,862,9884,6574,1889,7851,10086,15022,8530,202453,216717,228649,233154
Mozambique,18752894,24331230,32849489,43087778,1102913,1590968,1592040,1975518,1875965,3001121,3871143,3742805,8228361,10980480,14594099,20254185
Mauritius,1295921,1365737,1379505,1386427,46574,69020,6444,7171,115828,118263,76199,8877,912795,986090,984107,971206
Malawi,11622710,15220359,20029572,25779918,596840,1493968,1390869,1612384,1454485,1979956,2334843,2456734,2758224,4522192,5566228,7190749
Rwanda,8119069,10310142,13145020,16378222,495512,583779,493893,841525,1176599,887405,1105243,1379156,2451161,2700714,3435482,5016369
Somalia,8793767,12100599,16614480,22393280,473869,681499,941113,863193,1028021,1416743,2003985,1999437,6719294,9685174,13362650,18027081
Zambia,10176409,14179804,19459084,25376163,401212,760612,660232,559215,1077588,1317915,1659729,1345446,4213138,6472109,9249685,12599812
Kenya,30828430,41559917,52102221,63247149,2078592,2576885,2840361,1937444,4064210,4133160,5752039,5487444,10331624,13530535,19163526,27113662
Madagascar,17164390,23021128,29923736,37752714,911349,1453972,1786388,2038954,1673635,2479612,3571572,3967240,4316017,6936752,10829243,15801273
Seychelles,77942,89797,102321,107713,0,0,12842,6886,0,0,12842,21090,16418,17880,33344,43955
United Republic of Tanzania,34633402,45308607,61979011,82241917,2688701,2951463,4435705,5021415,4897005,5812471,7842859,9189588,11588301,17061808,26010370,37904342
Uganda,24097044,32437453,44498989,58485518,2146345,2553007,3517460,3151230,3248069,4335876,5418689,5651487,6596581,8972620,12473236,16732012
Zimbabwe,12497034,13559017,16541412,20246303,580873,294448,540485,233331,1468426,906352,886559,788165,4397745,4611014,4820412,5744957
Ethiopia,68066302,90494009,118679981,151159246,4146253,4501529,6934016,6813878,9185788,10052778,11862278,12001692,42012778,52439392,52741569,63073381
Eritrea,2472893,3238780,3653620,4400419,125664,143075,203226,220963,362486,308409,373126,447425,1767460,2211632,2123766,2496663
Djibouti,756409,936649,1109786,1269117,87003,23459,16663,20933,163428,135146,48884,40075,657672,820839,962613,1097166
Comoros,539422,659583,810582,965465,31019,25928,58999,61242,80246,63186,82524,105669,348321,451389,576902,695185
Burundi,6332675,9152063,12233008,15815287,421403,590549,510038,550046,747087,948257,805177,796150,2572615,3322954,3601701,4690769
Gabon,1264780,1702178,2276612,2755956,77933,94601,90245,73112,84215,211980,220423,179805,879461,1234956,1745769,2171161
Equatorial Guinea,677397,1084713,1589456,1987947,32867,202615,135267,22951,87872,267133,643495,192596,359800,684002,1379578,1738197
Chad,8382571,12062755,16918849,22867797,407520,598837,871320,1021171,869717,1216321,1714230,2102625,4079289,5888497,7869534,10930935
Sao Tome and Principe,144293,182929,218809,265037,9276,3341,7633,1708,12944,14888,11298,10593,92411,120476,157774,197183
Congo,3124247,4405393,5659892,7037028,233086,279095,343738,250616,367663,823151,738844,837200,2663029,3669672,4831956,6193952
Democratic Republic of the Congo,48821134,66728859,93411595,128437858,2539497,3793149,6046811,5389484,4848057,7456211,11638826,13230365,29065863,41688448,61478278,88912143
Cameroon,15130262,19935018,26570032,34165023,712367,943245,943674,917732,1630419,2038677,2487285,1997261,9756044,13469124,18121680,23796751
Central African Republic,3775746,4681372,5367708,7131465,228109,200978,169176,292734,294174,465104,395749,489226,1770431,2352457,2805942,4000046
Angola,16685004,23829027,34095266,45783719,823398,1379188,2069137,988655,1965579,2958661,4902035,3951765,10592472,15852494,24351162,33394959
Morocco,34141629,38806942,43848460,48069918,1167578,1530134,1031780,662993,2495979,2834838,2918483,1710025,22457098,26595498,31064774,34855773
Libya,6075384,7651289,7845431,8718331,491390,690013,375993,151893,964285,1309623,1052738,531618,3331973,4511037,4720499,5259833
Tunisia,12186763,13418036,14981843,16140900,809943,394254,438968,223489,1345506,1400332,941917,690564,6929669,7988975,9500940,10476165
Egypt,82076761,100359815,123590644,143730096,4447206,4140520,4716492,2316796,10434622,9982339,10594776,8334270,68832140,86457596,106620118,124976547
Algeria,37860477,44083698,53383935,61122016,2819810,2699835,2239362,1395246,5644607,6467261,5735268,3826260,22894221,28601347,36195229,42533363
Namibia,1950120,2253265,2671565,3129645,89181,45298,77478,52839,164675,147841,137871,151856,516799,712422,961765,1248126
Swaziland,1151222,1228687,1317356,1457406,87110,21720,15486,11661,186196,94187,30087,13258,279247,273109,224182,203630
Lesotho,2299497,2324102,2587892,2872117,89918,51494,94712,75978,236853,128590,143065,167810,628541,644235,745863,857450
South Africa,53284985,58950857,66931986,73606869,2403138,1673146,1458900,1222494,6539753,4082478,3242469,2691215,32579904,38448312,46241709,52791683
Botswana,1875357,2270651,2766838,3232127,244201,132600,98548,65203,348775,408779,264721,171803,1069596,1309413,1594591,1864138
Togo,4983089,6545128,8423471,10536069,467984,584726,342766,268944,898572,1363950,1217531,615296,2979037,4173852,5264527,6529873
Sierra Leone,4626146,6492359,8308604,10198533,144881,440516,328680,251448,269940,653081,906878,613977,2056295,3190509,4514384,5734875
Senegal,10013809,12925783,16953261,21785879,544418,635323,712030,665522,1014269,1363952,1636377,1426847,6360728,8409716,10921428,14031010
Nigeria,124557117,163033962,210942024,265836454,7579384,13513397,10450292,10561454,16374839,23552818,28710013,21874196,83321849,112798705,146039438,183883501
Niger,11964667,17117381,25011641,36188872,803901,1083487,1400181,2885023,1654371,2224196,2878942,4296198,5604349,8216073,11155746,16986968
Mauritania,2806416,3564099,4692107,6080252,361195,256135,203529,132162,618036,676640,588464,381079,1258193,1819791,2584890,3664734
Mali,11546444,15972241,21826349,29526915,546023,783862,1088145,1250863,957221,1565362,2132129,2614745,3923918,6207113,9382225,13887557
Liberia,2914748,4046187,5121930,6319822,138272,267991,122975,110785,148030,466734,479787,238519,1409199,2059118,2805266,3647696
Guinea-Bissau,1257163,1599563,2058411,2538068,44270,58703,66860,41226,110064,124720,153529,122701,547148,753699,1021618,1310114
Gambia,1489231,2014120,2680832,3399912,117498,165531,139671,77258,171297,359900,383973,249428,829690,1273096,1876603,2481426
Guinea,8474928,10436645,13424545,16896683,445628,585760,660397,436383,765842,1217138,1658156,1267356,3492646,4808818,6704190,9138403
Ghana,19884297,25861338,32530956,39183352,1758544,2127418,1219476,712383,3398729,4530091,4042702,2049257,12151217,17239403,22642249,27407788
Cape Verde,430199,492129,558631,618825,65766,30275,45471,9631,68645,97350,79251,70821,287018,337608,399297,450825
Côte d'Ivoire,16941272,21288935,27008109,34458072,1151871,1272589,1550695,1257986,2228281,2747656,3318403,3041704,9341424,12377424,16646518,21668184
Burkina Faso,12166870,16485915,22010187,28133462,974909,1191337,1146320,1047309,1787224,2616154,2761093,2331060,4819413,7207523,9713200,13012561
Benin,7053176,9514411,12734626,16505739,472009,932332,818895,620040,908976,1524287,2154505,1585221,3876626,5531031,7670088,9939309
Brazil,186340519,207854104,225495688,236690966,5882529,4993623,3299131,2104289,14486217,11484320,8723562,5477213,130190235,149609837,165634878,175264511
Turkmenistan,5879333,6777450,8037455,9045706,511363,404997,362071,290799,854142,919337,800913,656654,2972961,3654300,4517852,5311603
Uzbekistan,32816058,37642281,44073801,50342848,2439230,2190685,2452141,1962580,4869350,4749275,4873338,4517277,18791155,22413075,26988826,31392396
Tajikistan,8056048,9783535,12246436,14664634,580064,781019,871573,711392,1284957,1390110,1758030,1588755,4239073,5622742,7305678,9132745
Kyrgyzstan,6515565,7249169,8512148,9859926,247449,248059,318745,303526,622614,510418,605867,646003,3884543,4391264,5203242,6228027
Kazakhstan,22764721,24638246,27923593,30916930,941951,1752906,1239151,667592,1841778,2681233,3726056,2053263,12799601,15091892,18354792,20879477
Mongolia,3653295,4031029,4914548,5569122,124937,93978,130886,92178,333147,215370,254206,244514,1862301,2324599,3176877,3748131
Republic of Korea,56896194,59367631,63040714,62431056,2851772,2243846,1335809,404460,5294636,5902267,4044512,1679834,46413803,49031013,51997723,51313073
Dem People's Rep of Korea,29890454,31548436,32973377,33847987,438504,457892,991460,445475,1220397,945061,1416039,1391405,24360362,25551006,26128704,26466992
China,1509702566,1608452877,1698713172,1686651377,99324622,77691161,59108591,29642512,183776591,180676323,136884213,80213040,879020278,962596949,1035425652,1031761354
Myanmar,47564295,51546309,55747718,59477090,3231175,2180277,1963744,1450989,7898435,5833628,4175488,3215805,29415496,30876106,33086846,36065757
Cambodia,12372916,14623067,16653233,18336673,1453508,963326,1431567,1879643,2619833,2333295,2430505,4821769,4675233,5444905,6865632,9603243
Viet Nam,82391671,90982836,100407355,106500363,7797130,4830509,2965870,1993935,14957707,13251759,8024593,4699601,43279024,50272516,56909025,61073986
Lao People's Democratic Republic,5695174,6636744,7682207,8733030,297426,290530,330937,413618,494731,594437,608558,740719,974323,1300497,1616258,1920554
Malaysia,22621971,28335259,32782691,36236816,2920960,1550075,1117142,681554,4649269,5229602,2962278,1855602,14201692,18735827,22692016,25548281
Thailand,65308628,70683456,74053652,74708012,5010393,3067981,2275321,1978570,8173094,8368040,5149924,4037604,25640257,30559202,34654551,37502668
Brunei Darussalam,337229,400266,445845,478052,60020,44323,32341,15890,80505,114052,80363,50901,144885,203770,249974,272061
Philippines,76952121,93676039,111199716,128351710,5572742,5804694,6049161,6224133,10687036,11132058,11751746,12385618,42503493,53454470,66214906,80442632
Indonesia,212391051,241848078,269057902,288818575,9557503,7970480,5985424,5526264,22588803,18917390,14885016,11272894,137030280,158695843,177437250,190850448
Singapore,4008951,5104718,5838524,6171572,36430,5776,703,11645,66017,83982,7740,14228,3999829,5097543,5827888,6165350
Timor-Leste,884817,1096748,1309171,1504896,19183,36844,67144,20874,59497,52406,113803,72858,267519,356270,548419,676413
Maldives,240557,302625,423407,416126,4204,4841,5485,1083,18540,4841,13130,6853,92091,131200,218954,217800
Nepal,27649678,30574046,33028242,37294588,3008293,2890626,2477129,2525851,4161950,5322495,5121759,4992506,9776670,11475611,13804047,17715674
Pakistan,175108636,221053827,258744302,312503848,11773685,10680870,8736805,12603899,26130583,23369111,17769949,19927255,107066324,137422980,153025965,184785925
India,1139447807,1334454317,1501880268,1629138309,66160504,63902560,69496203,59544127,136833757,140091317,132063879,124860541,646302285,779187551,848249625,929540874
Iran  (Islamic Republic of),79115833,90882951,105176021,111966707,3556750,4552784,3074690,1312211,8690393,9191305,8885181,4433772,57926323,68564038,81698871,87164219
Sri Lanka,18875959,20778896,21837318,22304017,765039,929193,775468,300197,1942172,1580033,1534473,960960,8096362,9257147,9723875,10073697
Bhutan,723007,857967,934596,984023,38515,18364,20512,42334,47978,71268,39602,63154,218557,274039,280418,280274
Bangladesh,141072087,162058534,182782737,201329034,8665598,9531526,12661293,12294954,18544060,18830712,22965687,25688462,76169622,94116825,112476934,134448352
Afghanistan,23755401,34231732,47316798,61092584,3399671,3192048,4659915,4063225,3112414,6878606,8326605,9333588,13735834,21183709,32273966,45229174
Oman,2488839,3103543,4856708,5443927,74647,184772,641254,311832,511886,235511,852997,1023124,1178554,1527795,2932852,3566062
Kuwait,2188912,3331447,4929024,5162893,105293,124064,69070,25483,103117,275935,231664,97527,1958941,3091096,4596247,4807384
Lebanon,4864066,5620774,6385224,5316541,293250,262381,322253,92203,692753,535847,585968,229279,3031426,3608289,4167328,3224680
Qatar,707069,1881912,3040219,3146875,96530,218078,269345,25233,137659,453228,599141,282289,551728,1596873,2665465,2741714
